url,hits_404log,first_seen,last_seen,gsc_clicks,gsc_impr,current_status,current_target,wrong_audience_now,intent,proposed_rule,proposed_destination,dest_h1
/p/is-building-a-pool-worth-it,6,2026-07-21,2026-09-01,0,0,404,,False,guest-city,LEAVE 404 (not a US city URL),,
/p/issaquah-wa,6,2026-07-11,2026-07-16,0,0,301,/p/become-a-swimming-pool-host-issaquah-wa,True,guest-city,2 public-pools city hub,/public-pools/washington/issaquah/,
/p/renton-wa,6,2026-07-11,2026-07-16,0,0,301,/p/become-a-swimming-pool-host-renton-wa,True,guest-city,3 search,/s?address=Renton%2C+WA,
/p/springfield-oh,6,2026-07-07,2026-07-16,0,0,301,/p/become-a-swimming-pool-host-springfield-oh,True,guest-city,3 search,/s?address=Springfield%2C+OH,
/p/bellevue-wa,5,2026-07-09,2026-07-16,0,0,301,/p/become-a-swimming-pool-host-bellevue-wa,True,guest-city,2 public-pools city hub,/public-pools/washington/bellevue/,
/p/collierville-tn,5,2026-07-11,2026-07-16,0,0,301,/p/become-a-swimming-pool-host-collierville-tn,True,guest-city,3 search,/s?address=Collierville%2C+TN,
/p/elkhart-in,5,2026-07-07,2026-07-16,0,0,301,/p/become-a-swimming-pool-host-elkhart-in,True,guest-city,3 search,/s?address=Elkhart%2C+IN,
/p/fort-worth-tx,5,2026-07-14,2026-07-16,0,0,301,/p/become-a-swimming-pool-host-fort-worth-tx,True,guest-city,2 public-pools city hub,/public-pools/texas/fort-worth/,
/p/gainesville-va,5,2026-07-14,2026-07-16,0,0,301,/p/pool-rentals,False,guest-city,3 search,/s?address=Gainesville%2C+VA,
/p/hammond-in,5,2026-07-11,2026-07-16,0,0,301,/p/become-a-swimming-pool-host-hammond-in,True,guest-city,3 search,/s?address=Hammond%2C+IN,
/p/lafayette-in,5,2026-07-11,2026-07-16,0,0,301,/p/become-a-swimming-pool-host-lafayette-in,True,guest-city,3 search,/s?address=Lafayette%2C+IN,
